KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2003-Q1,80.91856948839671,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2003-Q2,70.3138811171791,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2003-Q3,49.2022631635733,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2003-Q4,34.335106482872916,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2004-Q1,2.7490947400746206,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2004-Q2,11.829010604584594,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2004-Q3,0.4741125399296594,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2004-Q4,1.0856905134049557,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2005-Q1,11.397971087479457,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2005-Q2,1.832584823612045,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2005-Q3,9.58581151735417,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2005-Q4,12.860225247122287,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2006-Q1,1.2175025068485077,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2006-Q2,-1.8713775462816762,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2006-Q3,2.461681352922297,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2006-Q4,-0.7104026488798155,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2007-Q1,-2.375322738587041,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2007-Q2,-5.333019690756978,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2007-Q3,-11.079106681880818,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2007-Q4,22.844829794566703,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2008-Q1,36.173420721087965,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2008-Q2,50.837566797118875,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2008-Q3,52.67654601156298,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2008-Q4,70.41548019231523,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2009-Q1,81.16991813946088,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2009-Q2,59.63927733534998,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2009-Q3,49.45559923307115,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2009-Q4,27.80504733795308,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2010-Q1,12.364528067989905,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2010-Q2,10.688369876742595,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2010-Q3,5.702903176309277,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2010-Q4,7.171986387300707,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2011-Q1,5.3655545961098365,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2011-Q2,4.770133079220245,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2011-Q3,10.852372491440585,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2011-Q4,17.199033387929898,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2012-Q1,41.71692781942184,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2012-Q2,17.017220242552863,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2012-Q3,22.670088815603627,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2012-Q4,29.65916367234219,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2013-Q1,27.120127516539625,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2013-Q2,17.790044550799895,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2013-Q3,13.465482684083801,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2013-Q4,3.8207038745536095,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2014-Q1,1.3592915078044256,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.WFNET,Q,U2,ALL,GEA,E,Z,B3,ST,S,WFNET,2014-Q2,-6.380535889667431,A,F,,,P3M,B,,,0,,Credit standards-Impact of general economic activity-Enterprise,Euro area (changing composition) - All banks - Question on Impact of general economic activity - contract counterpart Enterprise - Backward looking three months - domain of Credit standards Loan supply Weighted net percentage (tightened minus eased or reverse) based on the share of each country in the total loan outstanding amounts of the area aggregate,PC,0
